"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
818,Y tu mamá tambén,2001,122102,7.7,18,106 mn,Drama,88,"n Mexco, two teenage boys and an attractve older woman embark on a road trp and learn a thng or two about lfe, frendshp, sex, and each other.",Alfonso Cuarón,Marbel Verdú,Gael García Bernal,Danel Gménez Cacho,Ana López Mercado,$13.62M
819,Wakng Lfe,2001,63852,7.7,15,99 mn,"Anmaton, Drama, Fantasy",83,A man shuffles through a dream meetng varous people and dscussng the meanngs and purposes of the unverse.,Rchard Lnklater,Ethan Hawke,Trevor Jack Brooks,Lorele Lnklater,Wley Wggns,$2.89M
820,Ocean's Eleven,2001,561615,7.7,12,116 mn,"Crme, Thrller",74,Danny Ocean and hs ten accomplces plan to rob three Las Vegas casnos smultaneously.,Steven Soderbergh,George Clooney,Brad Ptt,Jula Roberts,Matt Damon,$183.42M
821,"O Brother, Where Art Thou?",2000,308287,7.7,12,107 mn,"Adventure, Comedy, Crme",69,"n the deep south durng the 1930s, three escaped convcts search for hdden treasure whle a relentless lawman pursues them.",Joel Coen,Ethan Coen,George Clooney,John Turturro,Tm Blake Nelson,$45.51M
822,Mnorty Report,2002,542869,7.7,12,145 mn,"Acton, Crme, Mystery",80,"n a future where a specal polce unt s able to arrest murderers before they commt ther crmes, an offcer from that unt s hmself accused of a future murder.",Steven Spelberg,Tom Cruse,Coln Farrell,Samantha Morton,Max von Sydow,$132.07M
823,"South Park: Bgger, Longer & Uncut",1999,203062,7.7,15,81 mn,"Anmaton, Comedy, Fantasy",73,"When Stan Marsh and hs frends go see an R-rated move, they start cursng and ther parents thnk that Canada s to blame.",Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,saac Hayes,$52.04M
824,Offce Space,1999,262823,7.7,15,89 mn,Comedy,68,Three company workers who hate ther jobs decde to rebel aganst ther greedy boss.,Mke Judge,Ron Lvngston,Jennfer Anston,Davd Herman,Ajay Nadu,$10.82M
825,Happness,1998,69967,7.7,18,134 mn,"Comedy, Drama",81,"The lves of several ndvduals ntertwne as they go about ther lves n ther own unque ways, engagng n acts socety as a whole mght fnd dsturbng n a desperate search for human connecton.",Todd Solondz,Jane Adams,Jon Lovtz,Phlp Seymour Hoffman,Dylan Baker,$2.81M
826,The Boondock Sants,1999,238011,7.7,18,108 mn,"Acton, Thrller",44,Two rsh Catholc brothers become vglantes and wpe out Boston's crmnal underworld n the name of God.,Troy Duffy,Wllem Dafoe,Sean Patrck Flanery,Norman Reedus,Davd Della Rocco,$0.03M
827,Tranng Day,2001,427538,7.7,18,122 mn,"Acton, Crme, Drama",69,A rooke cop spends hs frst day as a Los Angeles narcotcs offcer wth a rogue detectve who sn't what he appears to be.,Antone Fuqua,Denzel Washngton,Ethan Hawke,Scott Glenn,Tom Berenger,$76.63M
828,Run Lola Run,1998,197730,7.7,15,81 mn,"Acton, Crme, Thrller",77,"After a botched money delvery, Lola has 20 mnutes to come up wth 100,000 Deutschmarks.",Tom Tykwer,Franka Potente,Mortz Blebtreu,Herbert Knaup,Nna Petr,$7.27M
829,Open Your Eyes,1997,68959,7.7,15,119 mn,"Drama, Mystery, Sc-F",,"A very handsome man fnds the love of hs lfe, but he suffers an accdent and needs to have hs face rebult by surgery after t s severely dsfgured.",Alejandro Amenábar,Eduardo Norega,Penélope Cruz,Chete Lera,Fele Martínez,$0.37M
830,Taste of Cherry,1997,30423,7.7,PG,95 mn,Drama,80,An ranan man drves hs car n search of someone who wll quetly bury hm under a cherry tree after he commts sucde.,Abbas Karostam,Homayoun Ershad,Abdolrahman Bagher,Afshn Khorshd Bakhtar,Safar Al Morad,$0.31M
831,As Good as t Gets,1997,295933,7.7,15,139 mn,"Comedy, Drama, Romance",67,"A sngle mother and watress, a msanthropc author, and a gay artst form an unlkely frendshp after the artst s assaulted n a robbery.",James L. Brooks,Jack Ncholson,Helen Hunt,Greg Knnear,Cuba Goodng Jr.,$148.48M
832,Hana-B,1997,30480,7.7,18,103 mn,"Crme, Drama, Romance",,"Nsh leaves the polce n the face of harrowng personal and professonal dffcultes. Spralng nto depresson, he makes questonable decsons.",Takesh Ktano,Takesh Ktano,Kayoko Kshmoto,Ren Ôsug,Susumu Terajma,$0.23M
833,The Game,1997,386785,7.7,15,129 mn,"Drama, Mystery, Thrller",61,"After a wealthy San Francsco banker s gven an opportunty to partcpate n a mysterous game, hs lfe s turned upsde down as he begns to queston f t mght really be a concealed conspracy to destroy hm.",Davd Fncher,Mchael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,$48.32M
834,Donne Brasco,1997,303217,7.7,18,127 mn,"Bography, Crme, Drama",76,"An FB undercover agent nfltrates the mob and fnds hmself dentfyng more wth the mafa lfe, at the expense of hs regular one.",Mke Newell,Al Pacno,Johnny Depp,Mchael Madsen,Bruno Krby,$41.91M
835,Happy Together,1997,28698,7.7,15,96 mn,"Drama, Romance",70,A couple take a trp to Argentna but both men fnd ther lves drftng apart n opposte drectons.,Kar-Wa Wong,Lesle Cheung,Tony Chu-Wa Leung,Chang Chen,Gregory Dayton,$0.19M
836,Shne,1996,54099,7.7,12,105 mn,"Bography, Drama, Musc",87,"Panst Davd Helfgott, drven by hs father and teachers, has a breakdown. Years later he returns to the pano, to popular f not crtcal acclam.",Scott Hcks,Geoffrey Rush,Armn Mueller-Stahl,Justn Brane,Sona Todd,$35.81M
837,Prmal Fear,1996,209708,7.7,18,129 mn,"Crme, Drama, Mystery",47,"An altar boy s accused of murderng a prest, and the truth s bured several layers deep.",Gregory Hoblt,Rchard Gere,Laura Lnney,Edward Norton,John Mahoney,$56.12M
838,Sense and Sensblty,1995,114427,7.7,U,136 mn,"Drama, Romance",84,"Rch Mr. Dashwood des, leavng hs second wfe and her three daughters poor by the rules of nhertance. The two eldest daughters are the ttle oppostes.",Ang Lee,Emma Thompson,Kate Wnslet,James Fleet,Tom Wlknson,$43.18M
839,Apollo 13,1995,290985,7.7,PG,140 mn,"Adventure, Drama, Hstory",77,NASA must devse a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massve nternal damage puttng the lves of the three astronauts on board n jeopardy.,Ron Howard,Tom Hanks,Bll Paxton,Kevn Bacon,Gary Snse,$173.84M
840,The Postman,1994,36314,7.7,U,108 mn,"Bography, Comedy, Drama",81,"A smple talan postman learns to love poetry whle delverng mal to a famous poet, and then uses ths to woo local beauty Beatrce.",Mchael Radford,Massmo Tros,Massmo Tros,Phlppe Noret,Mara Graza Cucnotta,$21.85M
841,Clerks,1994,220452,7.7,18,92 mn,Comedy,70,"A day n the lves of two convenence clerks named Dante and Randal as they annoy customers, dscuss moves, and play hockey on the store roof.",Kevn Smth,Bran O'Halloran,Jeff Anderson,Marlyn Ghglott,Lsa Spoonauer,$3.15M
842,What's Eatng Glbert Grape,1993,234288,7.7,12,118 mn,Drama,73,A young man n a small Mdwestern town struggles to care for hs mentally-dsabled younger brother and morbdly obese mother whle attemptng to pursue hs own happness.,Lasse Hallström,Johnny Depp,Leonardo DCapro,Julette Lews,Mary Steenburgen,$9.17M
843,Short Cuts,1993,44726,7.7,18,188 mn,"Comedy, Drama",79,The day-to-day lves of several suburban Los Angeles resdents.,Robert Altman,Ande MacDowell,Julanne Moore,Tm Robbns,Bruce Davson,$6.11M
844,Phladelpha,1993,239182,7.7,12,125 mn,Drama,66,"When a man wth HV s fred by hs law frm because of hs condton, he hres a homophobc small tme lawyer as the only wllng advocate for a wrongful dsmssal sut.",Jonathan Demme,Tom Hanks,Denzel Washngton,Roberta Maxwell,Buzz Klman,$77.32M
845,Naked,1993,39051,7.7,18,131 mn,"Comedy, Drama",85,An unemployed Mancunan vents hs rage on unsuspectng strangers as he embarks on a nocturnal London odyssey.,Mke Legh,Davd Thewls,Lesley Sharp,Katrn Cartldge,Greg Cruttwell,$1.77M
846,The Muppet Chrstmas Carol,1992,57762,7.7,U,85 mn,"Comedy, Drama, Famly",64,The Muppet characters tell ther verson of the classc tale of an old and btter mser's redempton on Chrstmas Eve.,Bran Henson,Mchael Cane,Dave Goelz,Steve Whtmre,Jerry Nelson,$27.28M
847,Malcolm X,1992,93738,7.7,15,202 mn,"Bography, Drama, Hstory",73,"Bographcal epc of the controversal and nfluental Black Natonalst leader, from hs early lfe and career as a small-tme gangster, to hs mnstry as a member of the Naton of slam.",Spke Lee,Denzel Washngton,Angela Bassett,Delroy Lndo,Spke Lee,$48.17M
848,The Last of the Mohcans,1992,166945,7.7,12,112 mn,"Acton, Adventure, Drama",76,Three trappers protect the daughters of a Brtsh Colonel n the mdst of the French and ndan War.,Mchael Mann,Danel Day-Lews,Madelene Stowe,Russell Means,Erc Schweg,$75.51M
849,Hard Boled,1992,50240,7.7,18,128 mn,"Acton, Crme, Thrller",,A tough-as-nals cop teams up wth an undercover agent to shut down a snster mobster and hs crew.,John Woo,Chow Yun-Fat,Tony Chu-Wa Leung,Teresa Mo,Phlp Chan,
850,Porco Rosso,1992,87890,7.7,PG,94 mn,"Anmaton, Adventure, Comedy",83,"n 1930s taly, a veteran World War  plot s cursed to look lke an anthropomorphc pg.",Hayao Myazak,Shûchrô Moryama,Tokko Katô,Bunsh Katsura V,Tsunehko Kamjô,
851,Glengarry Glen Ross,1992,104277,7.7,15,100 mn,"Crme, Drama, Mystery",82,An examnaton of the machnatons behnd the scenes at a real estate offce.,James Foley,Al Pacno,Jack Lemmon,Alec Baldwn,Alan Arkn,$10.73M
852,A Few Good Men,1992,259782,7.7,15,138 mn,"Drama, Thrller",62,Mltary lawyer Leutenant Danel Kaffee defends Marnes accused of murder. They contend they were actng under orders.,Rob Rener,Tom Cruse,Jack Ncholson,Dem Moore,Kevn Bacon,$141.34M
853,Nght on Earth,1991,60169,7.7,15,129 mn,"Comedy, Drama",68,An anthology of 5 dfferent cab drvers n 5 Amercan and European ctes and ther remarkable fares on the same eventful nght.,Jm Jarmusch,Wnona Ryder,Gena Rowlands,Lsanne Falk,Alan Randolph Scott,$2.02M
854,Fred Green Tomatoes at the Whstle Stop Cafe,1991,74053,7.7,12,130 mn,Drama,64,A housewfe who s unhappy wth her lfe befrends an old lady at a nursng home and s enthralled by the tales she tells of people she used to know.,Jon Avnet,Kathy Bates,Jessca Tandy,Mary Stuart Masterson,Mary-Louse Parker,$82.42M
855,The Double Lfe of Véronque,1991,48120,7.7,15,98 mn,"Drama, Fantasy, Musc",86,"Two parallel stores about two dentcal women; one lvng n Poland, the other n France. They don't know each other, but ther lves are nevertheless profoundly connected.",Krzysztof Keslowsk,rène Jacob,Wladyslaw Kowalsk,Halna Gryglaszewska,Kalna Jedrusk,$2.00M
856,Dreams,1990,26281,7.7,PG,119 mn,"Drama, Fantasy",,A collecton of tales based upon eght of drector Akra Kurosawa's recurrng dreams.,Akra Kurosawa,shrô Honda,Akra Terao,Mtsuko Bashô,Toshe Negsh,$1.96M
857,Mller's Crossng,1990,134434,7.7,18,115 mn,"Crme, Drama, Thrller",66,"Tom Reagan, an advsor to a Prohbton-era crme boss, tres to keep the peace between warrng mobs but gets caught n dvded loyaltes.",Joel Coen,Ethan Coen,Gabrel Byrne,Albert Fnney,John Turturro,$5.08M
858,Home Alone,1990,555207,7.7,PG,103 mn,"Comedy, Famly",63,An eght-year-old troublemaker must protect hs house from a par of burglars when he s accdentally left home alone by hs famly durng Chrstmas vacaton.,Chrs Columbus,Macaulay Culkn,Joe Pesc,Danel Stern,John Heard,$285.76M
859,When Harry Met Sally,1989,215623,7.7,15,95 mn,"Comedy, Drama, Romance",76,"Harry and Sally have known each other for years, and are very good frends, but they fear sex would run the frendshp.",Rob Rener,Blly Crystal,Meg Ryan,Carre Fsher,Bruno Krby,$92.82M
860,Who Framed Roger Rabbt,1988,198429,7.7,PG,104 mn,"Anmaton, Adventure, Comedy",83,A toon-hatng detectve s a cartoon rabbt's only hope to prove hs nnocence when he s accused of murder.,Robert Zemecks,Bob Hoskns,Chrstopher Lloyd,Joanna Cassdy,Charles Flescher,$156.45M
861,The Vanshng,1988,38540,7.7,12,107 mn,"Mystery, Thrller",,"Rex and Saska, a young couple n love, are on vacaton. They stop at a busy servce staton and Saska s abducted. After three years and no sgn of Saska, Rex begns recevng letters from the abductor.",George Sluzer,Bernard-Perre Donnadeu,Gene Bervoets,Johanna ter Steege,Gwen Eckhaus,
862,The Last Emperor,1987,102277,7.7,15,163 mn,"Bography, Drama, Hstory",76,The story of the fnal Emperor of Chna.,Bernardo Bertolucc,John Lone,Joan Chen,Peter O'Toole,Ruocheng Yng,$43.98M
863,Evl Dead ,1987,161947,7.7,18,84 mn,"Comedy, Horror",72,The lone survvor of an onslaught of flesh-possessng sprts holes up n a cabn wth a group of strangers whle the demons contnue ther attack.,Sam Ram,Bruce Campbell,Sarah Berry,Dan Hcks,Kasse Wesley DePava,$5.92M
864,Empre of the Sun,1987,124416,7.7,PG,153 mn,"Drama, Hstory, War",62,A young Englsh boy struggles to survve under Japanese occupaton of Chna durng World War .,Steven Spelberg,Chrstan Bale,John Malkovch,Mranda Rchardson,Ngel Havers,$22.24M
865,The Name of the Rose,1986,107975,7.7,18,130 mn,"Drama, Hstory, Mystery",54,An ntellectually nonconformst frar nvestgates a seres of mysterous deaths n an solated abbey.,Jean-Jacques Annaud,Sean Connery,Chrstan Slater,Helmut Qualtnger,Elya Baskn,$7.15M
866,Down by Law,1986,51378,7.7,15,107 mn,"Comedy, Crme, Drama",75,"Two men are framed and sent to jal, where they meet a murderer who helps them escape and leave the state.",Jm Jarmusch,Tom Wats,John Lure,Roberto Bengn,Ncoletta Brasch,$1.44M
867,Blue Velvet,1986,196273,7.7,18,120 mn,"Crme, Drama, Mystery",76,"The dscovery of a severed human ear found n a feld leads a young man on an nvestgaton related to a beautful, mysterous nghtclub snger and a group of psychopathc crmnals who have kdnapped her chld.",Davd Lynch,sabella Rosselln,Kyle MacLachlan,Denns Hopper,Laura Dern,$8.55M
868,The Purple Rose of Caro,1985,51397,7.7,PG,82 mn,"Comedy, Fantasy, Romance",75,"n New Jersey n 1935, a move character walks off the screen and nto the real world.",Woody Allen,Ma Farrow,Jeff Danels,Danny Aello,rvng Metzman,$10.63M
869,The Goones,1985,267453,7.7,12,114 mn,"Adventure, Comedy, Famly",62,A group of young msfts called The Goones dscover an ancent map and set out on an adventure to fnd a legendary prate's long-lost treasure.,Rchard Donner,Sean Astn,Josh Broln,Jeff Cohen,Corey Feldman,$61.50M
870,The Color Purple,1985,85908,7.7,15,154 mn,Drama,78,A black Southern woman struggles to fnd her dentty after sufferng abuse from her father and others over four decades.,Steven Spelberg,Danny Glover,Whoop Goldberg,Oprah Wnfrey,Margaret Avery,$98.47M
871,Zelg,1983,41966,7.7,PG,79 mn,Comedy,,"""Documentary"" about a man who can look and act lke whoever he's around, and meets varous famous people.",Woody Allen,Woody Allen,Ma Farrow,Patrck Horgan,John Buckwalter,$11.80M
872,The Verdct,1982,40044,7.7,AA,129 mn,Drama,77,"An outcast, alcoholc Boston lawyer sees the chance to salvage hs career and self-respect by takng a medcal malpractce case to tral rather than settlng.",Sdney Lumet,Paul Newman,Charlotte Ramplng,Jack Warden,James Mason,$54.00M
873,Star Trek : The Wrath of Khan,1982,120276,7.7,12A,113 mn,"Acton, Adventure, Sc-F",67,"Wth the assstance of the Enterprse crew, Admral Krk must stop an old nemess, Khan Noonen Sngh, from usng the lfe-generatng Geness Devce as the ultmate weapon.",Ncholas Meyer,Wllam Shatner,Leonard Nmoy,DeForest Kelley,James Doohan,$78.91M
874,Frst Blood,1982,247789,7.7,15,93 mn,"Acton, Adventure, Thrller",61,A veteran Green Beret s forced by a cruel Sherff and hs deputes to flee nto the mountans and wage an escalatng one-man war aganst hs pursuers.,Ted Kotcheff,Sylvester Stallone,Bran Dennehy,Rchard Crenna,Bll McKnney,$47.21M
875,Ordnary People,1980,51819,7.7,AA,124 mn,Drama,86,"The accdental death of the older son of an affluent famly deeply strans the relatonshps among the btter mother, the good-natured father, and the gult-rdden younger son.",Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hrsch,Tmothy Hutton,$54.80M
876,Arplane!,1980,235048,7.7,A,88 mn,Comedy,78,A man afrad to fly must ensure that a plane lands safely after the plots become sck.,Jm Abrahams,Davd Zucker,Jerry Zucker,Robert Hays,Jule Hagerty,$83.40M
877,Halloween,1978,267420,7.7,X,91 mn,"Horror, Thrller",87,"Ffteen years after murderng hs sster on Halloween nght 1963, Mchael Myers escapes from a mental hosptal and returns to the small town of Haddonfeld, llnos to kll agan.",John Carpenter,Donald Pleasence,Jame Lee Curts,Tony Moran,Nancy Kyes,$47.00M
878,Nashvlle,1975,26192,7.7,AA,160 mn,"Comedy, Drama, Musc",96,"Over the course of a few hectc days, numerous nterrelated people prepare for a poltcal conventon.",Robert Altman,Keth Carradne,Karen Black,Ronee Blakley,Shelley Duvall,$14.82M
879,Love and Death,1975,38402,7.7,A,85 mn,"Comedy, War",89,"n czarst Russa, a neurotc solder and hs dstant cousn formulate a plot to assassnate Napoleon.",Woody Allen,Woody Allen,Dane Keaton,Georges Adet,Frank Adu,
880,Blazng Saddles,1974,137421,7.7,AA,93 mn,"Comedy, Western",73,"n order to run a western town, a corrupt poltcan apponts a black Sherff, who promptly becomes hs most formdable adversary.",Mel Brooks,Cleavon Lttle,Gene Wlder,Slm Pckens,Harvey Korman,$119.50M
881,Serpco,1973,121415,7.7,X,130 mn,"Bography, Crme, Drama",81,An honest New York cop named  blows the whstle on rampant corrupton n the force only to have hs comrades turn aganst hm.,Sdney Lumet,Al Pacno,John Randolph,Jack Kehoe,Bff McGure,$29.80M
882,Fantastc Planet,1973,30778,7.7,A,72 mn,"Anmaton, Sc-F",73,"On a faraway planet where blue gants rule, oppressed humanods rebel aganst ther machne-lke leaders.",René Laloux,Barry Bostwck,Jennfer Drake,Erc Baugn,Jean Topart,$0.19M
883,Badlands,1973,72380,7.7,X,94 mn,"Acton, Crme, Drama",93,An mpressonable teenage grl from a dead-end town and her older greaser boyfrend embark on a kllng spree n the South Dakota badlands.,Terrence Malck,Martn Sheen,Sssy Spacek,Warren Oates,Ramon Ber,
884,Delverance,1972,107344,7.7,18,109 mn,"Adventure, Drama, Thrller",80,"ntent on seeng the Cahulawassee Rver before t's dammed and turned nto a lake, outdoor fanatc Lews Medlock takes hs frends on a canoeng trp they'll never forget nto the dangerous Amercan back-country.",John Boorman,Jon Voght,Burt Reynolds,Ned Beatty,Ronny Cox,$7.06M
885,Cabaret,1972,54495,7.7,X,124 mn,"Drama, Musc, Muscal",80,A female grle club entertaner n Wemar Republc era Berln romances two men whle the Naz Party rses to power around them.,Bob Fosse,Lza Mnnell,Mchael York,Helmut Grem,Joel Grey,$42.77M
